latitude,longitude,address,province
-68.21,44.35,Acadia,ME
-170.68,-14.25,National Park of American Samoa,American Samoa
-109.57,38.68,Arches,UT
-102.5,43.75,Badlands,SD
-103.25,29.25,Big Bend,TX
-80.08,25.65,Biscayne,FL
-107.72,38.57,Black Canyon of the Gunnison,CO
-112.18,37.57,Bryce Canyon,UT
-109.93,38.2,Canyonlands,UT
-111.17,38.2,Capitol Reef,UT
-104.44,32.17,Carlsbad Caverns,NM
-119.42,34.01,Channel Islands,CA
-80.78,33.78,Congaree,SC
-122.1,42.94,Crater Lake,OR
-81.55,41.24,Cuyahoga Valley,OH
-116.82,36.24,Death Valley,CA
-150.5,63.33,Denali,AK
-82.87,24.63,Dry Tortugas,FL
-80.93,25.32,Everglades,FL
-153.3,67.78,Gates of the Arctic,AK
-90.19,38.63,Gateway Arch,MO
-114,48.8,Glacier,MT
-137,58.5,Glacier Bay,AK
-112.14,36.06,Grand Canyon,AZ
-110.8,43.73,Grand Teton,WY
-114.3,38.98,Great Basin,NV
-105.51,37.73,Great Sand Dunes,CO
-83.53,35.68,Great Smoky Mountains,TN
-104.87,31.92,Guadalupe Mountains,TX
-156.17,20.72,HaleakalA,HI
-155.2,19.38,Hawai'i Volcanoes,HI
-93.05,34.51,Hot Springs,AR
-87.0524,41.6533,Indiana Dunes,IN
-88.55,48.1,Isle Royale,MI
-115.9,33.79,Joshua Tree,CA
-155,58.5,Katmai,AK
-149.65,59.92,Kenai Fjords,AK
-118.55,36.8,Kings Canyon,CA
-159.28,67.55,Kobuk Valley,AK
-153.42,60.97,Lake Clark,AK
-121.51,40.49,Lassen Volcanic,CA
-86.1,37.18,Mammoth Cave,KY
-108.49,37.18,Mesa Verde,CO
-121.75,46.85,Mount Rainier,WA
-121.2,48.7,North Cascades,WA
-123.5,47.97,Olympic,WA
-109.78,35.07,Petrified Forest,AZ
-121.16,36.48,Pinnacles,CA
-124,41.3,Redwood,CA
-105.58,40.4,Rocky Mountain,CO
-110.5,32.25,Saguaro,AZ
-118.68,36.43,Sequoia,CA
-78.35,38.53,Shenandoah,VA
-103.45,46.97,Theodore Roosevelt,ND
-64.73,18.33,Virgin Islands,US VIRGIN ISLANDS
-92.88,48.5,Voyageurs,MN
-106.17,32.78,White Sands,NM
-103.48,43.57,Wind Cave,SD
-142,61,Wrangell-St. Elias,AK
-110.5,44.6,Yellowstone,WY
-119.5,37.83,Yosemite,CA
-113.05,37.3,Zion,UT